id,category,url,local_filename,animal,breed,age,diagnosis_category,diagnosis,grade,description,source_page
uq-eq-normal-aortic,normal,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,aortic_valve_normal.wav,horse,unspecified,adult,normal,Normal heart sounds (aortic valve),,"Auscultation at the aortic valve (left 4th intercostal space). Regular rhythm, clear S1-S2 (lub-dub), no murmurs or skipped beats. Recorded with an Eko Core digital stethoscope; slide 16 of the UQ learning resource.",uq-equine-cardiac-auscultation-pptx
uq-eq-normal-mitral,normal,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,mitral_valve_normal.wav,horse,unspecified,adult,normal,Normal heart sounds (mitral valve),,"Auscultation at the mitral valve (left 5th intercostal space). Regular rhythm, clear S1-S2, no murmurs or skipped beats. Recorded with an Eko Core digital stethoscope; slide 17.",uq-equine-cardiac-auscultation-pptx
uq-eq-normal-tricuspid,normal,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,tricuspid_valve_normal.wav,horse,unspecified,adult,normal,Normal heart sounds (tricuspid valve),,"Auscultation at the tricuspid valve (right 4th intercostal space). Regular rhythm, clear S1-S2; slight skin-twitch/background noise present. Recorded with an Eko Core digital stethoscope; slide 18.",uq-equine-cardiac-auscultation-pptx
uq-eq-normal-tricuspid-realistic,normal,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,tricuspid_valve_realistic_with_git_sounds.wav,horse,unspecified,adult,normal,"Normal heart sounds (tricuspid valve, realistic field recording)",,"Realistic example of what is typically heard auscultating the tricuspid valve in the majority of horses (soft window behind the right elbow), with superimposed gastrointestinal (GIT) sounds. Illustrates a common normal-but-noisy real-world auscultation. Recorded with an Eko Core digital stethoscope; slide 19.",uq-equine-cardiac-auscultation-pptx
uq-eq-normal-s3-gallop,normal,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,mitral_valve_s3_gallop.wav,horse,unspecified,adult,normal,Physiologic S3 gallop sound (mitral valve),,"Regular rhythm with an extra third heart sound (S3) producing a 'gallop' rhythm; a gallop is rarely pathogenic in horses and can arise from split S1, split S2, S3 or S4. Recorded with an Eko Core digital stethoscope; slide 20.",uq-equine-cardiac-auscultation-pptx
uq-eq-mr-mitral,acquired,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,mitral_regurgitation_mitral_valve.wav,horse,unspecified,adult,acquired_valvular_disease,Mitral regurgitation (auscultated at mitral valve),,"Holosystolic/pansystolic murmur of greatest intensity at the mitral valve, regular rhythm, no skipped beats. Recorded with an Eko Core digital stethoscope; slide 29.",uq-equine-cardiac-auscultation-pptx
uq-eq-mr-aortic-radiation,acquired,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,mitral_regurgitation_aortic_valve_radiation.wav,horse,unspecified,adult,acquired_valvular_disease,Mitral regurgitation (murmur radiation heard at aortic valve),,"Same mitral regurgitation case auscultated over the aortic valve region: holosystolic/pansystolic murmur of lesser intensity than at the mitral valve, illustrating murmur radiation. Recorded with an Eko Core digital stethoscope; slide 30.",uq-equine-cardiac-auscultation-pptx
uq-eq-vsd-mitral,congenital,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,vsd_mitral_valve.wav,horse,unspecified,unspecified,congenital,"Ventricular septal defect (VSD), auscultated at mitral valve",,"Regular rhythm with an abnormal holosystolic/pansystolic murmur, no skipped beats; definitive diagnosis required echocardiography. VSD murmurs in horses are typically audible on both left and right sides of the chest. Recorded with an Eko Core digital stethoscope; slide 32.",uq-equine-cardiac-auscultation-pptx
uq-eq-vsd-aortic,congenital,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,vsd_aortic_valve.wav,horse,unspecified,unspecified,congenital,"Ventricular septal defect (VSD), auscultated at aortic valve",,"Same VSD case auscultated at the aortic valve: regular rhythm, abnormal holosystolic/pansystolic murmur; recording includes background movement/GIT sounds. Recorded with an Eko Core digital stethoscope; slide 33.",uq-equine-cardiac-auscultation-pptx
uq-eq-pentalogy-mitral,congenital,https://pmc.ncbi.nlm.nih.gov/articles/instance/11083587/bin/animals-14-01341-s001.zip,pentalogy_of_fallot_mitral_valve.wav,horse,unspecified,unspecified,congenital,Pentalogy of Fallot (auscultated at mitral valve),,"Case from a horse referred to in the source material as 'UQ Billy'; regular rhythm with an abnormal systolic murmur that can be accompanied by pulmonary regurgitation sounds. Pentalogy of Fallot (VSD + pulmonic stenosis + overriding aorta + right ventricular hypertrophy + an atrial septal defect) is described as very rare in horses; definitive diagnosis required echocardiography. Recorded with an Eko Core digital stethoscope; slide 37.",uq-equine-cardiac-auscultation-pptx
