id,category,url,local_filename,animal,breed,age,diagnosis_category,diagnosis,grade,description,source_page
tiho-normal-rhythm,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/Update_2025/Nr-1.1.__NORMAL_CARDIAC_RYTHM.mp3,normal_cardiac_rhythm.mp3,dog,Beagle,adult,normal,Normal cardiac rhythm (no murmur),0/6,"S1 and S2 heart sounds recorded over the mitral valve area in a healthy adult Beagle; used as reference/baseline recording.",examples+grading+cardiac-arrhythmias
tiho-normal-rhythm-video,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/Update_2025/Nr.-1.1._NORMAL_CARDIAC_RYTHM.mpg,normal_cardiac_rhythm.mpg,dog,Beagle,adult,normal,Normal cardiac rhythm (video/DPCG),0/6,"Companion video/digital phonocardiogram (DPCG) synced recording for the normal rhythm example.",examples
tiho-ex-001-mi-mild,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Examples/001-Beagle_SAM_Klt_mild_MI_II_VI_.mp3,001_beagle_mild_mitral_insufficiency_grade2.mp3,dog,Beagle,9 years,acquired_valvular_disease,Mild mitral insufficiency (myxomatous mitral valve disease),2/6,"Grade 2/6 holosystolic plateau murmur, early myxomatous mitral valve disease (MMVD).",examples
tiho-ex-002-mi-mild,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Examples/002-Tibetan_sp_H-156778-Kuenzel_mild_MI_III_VI.mp3,002_tibetan_spaniel_mild_mitral_insufficiency_grade3.mp3,dog,Tibetan Spaniel,7 years,acquired_valvular_disease,Mild mitral insufficiency,3/6,"Grade 3/6 holosystolic plateau murmur consistent with mild mitral insufficiency.",examples
tiho-ex-003-mi-severe,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Examples/003-Poodle_208101_Boy_sev_MI_IV_VI.mp3,003_standard_poodle_severe_mitral_insufficiency_grade4.mp3,dog,Standard Poodle,16.5 years,acquired_valvular_disease,Severe mitral insufficiency,4/6,"Grade 4/6 holosystolic plateau murmur, severe mitral insufficiency in a geriatric dog.",examples
tiho-ex-004-ps-moderate,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/Update_2025/004-Basset_H-148095-Pietsch_mod_PS.mp3,004_basset_hound_moderate_pulmonic_stenosis_grade3.mp3,dog,Basset Hound,4 months,congenital,Moderate pulmonic stenosis,3/6,"Grade 3/6 systolic crescendo-decrescendo murmur, congenital pulmonic stenosis in a juvenile dog.",examples
tiho-ex-005-ps-severe,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Examples/005-Fox_Terrier_H-148296-Mars_sev_PS_V_VI.mp3,005_fox_terrier_severe_pulmonic_stenosis_grade5.mp3,dog,Fox Terrier,3.5 years,congenital,Severe pulmonic stenosis,5/6,"Grade 5/6 crescendo-decrescendo murmur, severe congenital pulmonic stenosis.",examples
tiho-ex-006-sas-severe,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Examples/006-Fox_Terrier_199723-Benji_sev_SAS-IV-VI.mp3,006_fox_terrier_severe_subaortic_stenosis_grade4.mp3,dog,Fox Terrier,4 years,congenital,Severe subvalvular aortic stenosis (SAS),4/6,"Grade 4/6 systolic crescendo-decrescendo murmur, severe congenital subaortic stenosis.",examples
tiho-ex-007-pda,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Examples/007-Border_Collie_H-153638-Schulz-PDA.mp3,007_border_collie_pda_grade5.mp3,dog,Border Collie,4.5 years,congenital,Patent ductus arteriosus (PDA),5/6,"Grade 5/6 continuous 'machinery' murmur, classic for PDA.",examples
tiho-ex-008-vsd,examples,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Examples/008-Dobermann_Pinscher_H-154084_DeLange_VSD__IV-VI.mp3,008_doberman_pinscher_vsd_grade4.mp3,dog,Doberman Pinscher,2.5 months,congenital,Restrictive ventricular septal defect (VSD),4/6,"Grade 4/6 holosystolic plateau murmur, restrictive VSD in a puppy.",examples
tiho-grade-1,grading,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/HAN_Grade_1-Nemo.mp3,grade1_nemo_mild_mitral_insufficiency.mp3,dog,unspecified,unspecified,acquired_valvular_disease,Mild mitral insufficiency,1/6,"Very soft, localized murmur detected only in a quiet room after intently listening.",grading
tiho-grade-2,grading,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/HAN_Grade_2-SAM.mp3,grade2_sam_mild_mitral_insufficiency.mp3,dog,unspecified,unspecified,acquired_valvular_disease,Mild mitral insufficiency,2/6,"Soft murmur but easily heard after a few seconds of auscultation.",grading
tiho-grade-3,grading,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/HAN_Grade_3-Kuenzel.mp3,grade3_kuenzel_mild_mitral_insufficiency.mp3,dog,unspecified,unspecified,acquired_valvular_disease,Mild mitral insufficiency,3/6,"Moderate-intensity murmur, readily audible on auscultation.",grading
tiho-grade-4,grading,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/HAN_Grade_4-Fifi.mp3,grade4_fifi_moderate_mitral_insufficiency.mp3,dog,unspecified,unspecified,acquired_valvular_disease,Moderate mitral insufficiency,4/6,"Loud murmur, not accompanied by a palpable precordial thrill.",grading
tiho-grade-5,grading,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/HAN_Grade_5-Jaerke.mp3,grade5_jaerke_severe_mitral_insufficiency.mp3,dog,unspecified,unspecified,acquired_valvular_disease,Severe mitral insufficiency,5/6,"Very loud murmur accompanied by a palpable precordial thrill.",grading
tiho-grade-6,grading,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Grading/HAN_Grade_6-UEcuencue.mp3,grade6_uecuencue_severe_pulmonic_stenosis.mp3,dog,unspecified,unspecified,congenital,Severe pulmonic stenosis,6/6,"Loudest murmur grade; palpable thrill remains audible even with the stethoscope lifted off the chest wall.",grading
tiho-arr-2.1-tachycardia,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-2.1.__SINUS_TACHYCARDIA.mp3,arr_2.1_sinus_tachycardia.mp3,dog,unspecified,unspecified,arrhythmia,Sinus tachycardia,,"Regular, accelerated heart rhythm together with a systolic grade 5/6 murmur from mitral insufficiency.",cardiac-arrhythmias
tiho-arr-3.1.1-bradycardia,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-3.1.1._SINUS_BRADYCARDIA.mp3,arr_3.1.1_sinus_bradycardia.mp3,dog,unspecified,unspecified,arrhythmia,Sinus bradycardia,,"Regular rhythm, slower than physiologic heart rate.",cardiac-arrhythmias
tiho-arr-3.1.2-brady-ves,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-3.1.2.__BRADYCARDIA_WITH_ISOLATED_VES.mp3,arr_3.1.2_bradycardia_with_isolated_ves.mp3,dog,unspecified,unspecified,arrhythmia,Bradycardia with isolated ventricular extrasystole,,"Bradycardia with an isolated ventricular extrasystole (VES) audible at approx. 8 seconds.",cardiac-arrhythmias
tiho-arr-4.1-sinus-arrhythmia,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-4.1._PHYSIOLOGIC_SINUS_ARRHYTHMIA.mp3,arr_4.1_physiologic_sinus_arrhythmia.mp3,dog,unspecified,unspecified,arrhythmia,Physiologic (respiratory) sinus arrhythmia,,"Rhythm variation linked to the parasympathetic/vagal effect during expiration; a normal finding in dogs.",cardiac-arrhythmias
tiho-arr-7.1-atrial-es,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-7.1._SINGLE_ATRIAL_ES.mp3,arr_7.1_single_atrial_extrasystole.mp3,dog,unspecified,unspecified,arrhythmia,Isolated (single) atrial extrasystole,,"Isolated premature atrial extrasystole at ~1 second, with concurrent grade 4/6 mitral murmur.",cardiac-arrhythmias
tiho-arr-7.3-ventricular-es,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-7.3.__SINGLE_VENTRICULAR_ES.mp3,arr_7.3_single_ventricular_extrasystole.mp3,dog,unspecified,unspecified,arrhythmia,Isolated (single) ventricular extrasystoles,,"Isolated premature ventricular extrasystoles at ~2nd, 6th and 15th seconds.",cardiac-arrhythmias
tiho-arr-7.4-bifocal,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-7.4._BIFOCAL_VES___AES.mp3,arr_7.4_bifocal_ves_and_aes.mp3,dog,unspecified,unspecified,arrhythmia,Bifocal ventricular + atrial extrasystoles,,"Two ventricular extrasystoles of different morphology at 7th-8th seconds, plus a premature atrial extrasystole at the 11th second.",cardiac-arrhythmias
tiho-arr-9.1-afib,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-9.1._ATRIAL_FIBIRLLATION.mp3,arr_9.1_atrial_fibrillation.mp3,dog,unspecified,unspecified,arrhythmia,Atrial fibrillation,,"Abnormal, chaotic rhythm with an associated grade 3/6 mitral murmur.",cardiac-arrhythmias
tiho-arr-9.1.2-afib-ves,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-9.1.2._ATRIAL_FIBRILLATION_AND_VES.mp3,arr_9.1.2_atrial_fibrillation_with_ves.mp3,dog,unspecified,unspecified,arrhythmia,Atrial fibrillation with ventricular extrasystole,,"Atrial fibrillation with an additional premature ventricular complex at ~10 seconds.",cardiac-arrhythmias
tiho-arr-10.1-atrial-tachy,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-10.1.__ATRIAL_TACHYCARDIA.mp3,arr_10.1_atrial_tachycardia.mp3,dog,unspecified,unspecified,arrhythmia,Atrial (focal) tachycardia,,"Focal fast tachycardia originating from atrial muscle.",cardiac-arrhythmias
tiho-arr-12.1-ves,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-12.1._one_VES_to_see__VENTRICULAR_EXTRASYSTOLE.mp3,arr_12.1_ventricular_extrasystole.mp3,dog,unspecified,unspecified,arrhythmia,Ventricular extrasystole,,"Premature ventricular extrasystole at ~8 seconds; possible additional ES at 3rd/9th seconds.",cardiac-arrhythmias
tiho-arr-12.6-ves-audible,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-12.6._VES_not_to_see_only_to_hear.mp3,arr_12.6_ves_audible_only.mp3,dog,unspecified,unspecified,arrhythmia,Ventricular extrasystole (audible but not visible on ECG),,"Premature extrasystole at ~6 seconds audible on the digital phonocardiogram but not visible on simultaneous ECG; concurrent sinus arrhythmia and grade 5/6 murmur. Illustrates auscultation catching what ECG alone might miss.",cardiac-arrhythmias
tiho-arr-13.2-pvt,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-13.2.PAROXYSMAL_VENTRICULAR_TACHYCARDIA.mp3,arr_13.2_paroxysmal_ventricular_tachycardia.mp3,dog,unspecified,unspecified,arrhythmia,Paroxysmal ventricular tachycardia,,"A run of bizarre/wide ventricular complexes followed by a return to fast regular sinus beats.",cardiac-arrhythmias
tiho-arr-13.3-bifocal-vt,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-13.3._PAROXYSMAL_BIFOCAL_VENTRICULAR_TACHYCARDIA.mp3,arr_13.3_paroxysmal_bifocal_ventricular_tachycardia.mp3,dog,unspecified,unspecified,arrhythmia,Paroxysmal bifocal ventricular tachycardia,,"Two runs of ventricular extrasystoles with differing morphology/frequency, interspersed with regular fast sinus beats.",cardiac-arrhythmias
tiho-arr-17.1-avblock2,arrhythmia,https://www.tiho-hannover.de/fileadmin/04_ZELDA/E-Learning/Heartsound_Library/Arrythmia/Nr-17.1.__ISOLATED_2ND_DEGREE_AV_BLOCK.mp3,arr_17.1_isolated_2nd_degree_av_block.mp3,dog,unspecified,unspecified,arrhythmia,Isolated 2nd degree AV block,,"Isolated P waves without a following QRS complex at ~1st, 2nd, 4th and 6th seconds.",cardiac-arrhythmias
